pmid,nct_id,reference_type,citation_count
22944873,NCT02147405,one-to-one,42
22958084,NCT01429948,one-to-one,5
22958084,NCT01429948,one-to-one,5
22958084,NCT01429948,one-to-one,5
22960277,NCT00780533,one-to-one,13
22960277,NCT00780533,one-to-one,13
22972364,NCT00242944,one-to-one,1
22972364,NCT00242944,one-to-one,1
22980299,NCT00391872,one-to-one,10
22980299,NCT00391872,one-to-one,10
22980305,NCT00042081,one-to-one,14
22991347,NCT00391872,one-to-one,32
22991347,NCT00391872,one-to-one,32
22995880,NCT00089895,one-to-one,2
22995880,NCT00089895,one-to-one,2
22995885,NCT00530894,one-to-one,83
23018440,NCT00027352,one-to-one,7
23021325,NCT00391872,one-to-one,18
23021325,NCT00391872,one-to-one,18
23031172,NCT00201968,one-to-one,16
23033246,NCT00000620,one-to-one,14
23033246,NCT00000620,one-to-one,14
23034910,NCT00059306,one-to-one,26
23034910,NCT00059306,one-to-one,26
23040114,NCT00047437,one-to-one,2
23041595,NCT01098045,one-to-one,7
23048170,NCT01106196,one-to-one,39
23048170,NCT01106196,one-to-one,39
23051772,NCT00292552,one-to-one,36
23062530,NCT00047437,one-to-one,47
23063367,NCT00700856,one-to-one,13
23063367,NCT00700856,one-to-one,13
23071495,NCT00000560,one-to-one,19
23078148,NCT00393991,one-to-one,11
23092052,NCT00381303,one-to-one,2
23107780,NCT00099710,one-to-one,85
23113909,NCT01187056,one-to-one,4
23113909,NCT01187056,one-to-one,4
23117779,NCT00699998,one-to-one,49
23117779,NCT00699998,one-to-one,49
23122802,NCT00530894,one-to-one,43
23126252,NCT00658515,one-to-one,527
23128968,NCT00741286,one-to-one,16
23128968,NCT00741286,one-to-one,16
23128968,NCT00741286,one-to-one,16
23129601,NCT00900146,one-to-one,148
23137503,NCT00391872,one-to-one,2
23137503,NCT00391872,one-to-one,2
23144326,NCT00292552,one-to-one,42
23152839,NCT00794664,one-to-one,50
23152839,NCT00794664,one-to-one,50
23152962,NCT01592734,one-to-one,6
23169319,NCT00929864,one-to-one,76
23177481,NCT01116856,one-to-one,4
23177481,NCT01116856,one-to-one,4
23184565,NCT00153101,one-to-one,12
23185280,NCT01313819,one-to-one,9
23194494,NCT00000542,one-to-one,4
23194494,NCT00000542,one-to-one,4
23194494,NCT00000542,one-to-one,4
23196037,NCT00914095,one-to-one,10
23196037,NCT00914095,one-to-one,10
23204602,NCT00051363,one-to-one,90
23204602,NCT00051363,one-to-one,90
23212996,NCT00153101,one-to-one,40
23216780,NCT01166243,one-to-one,12
23227315,NCT00580528,one-to-one,3
23238658,NCT00000620,one-to-one,31
23238658,NCT00000620,one-to-one,31
23242479,NCT00330980,one-to-one,24
23243212,NCT00810732,one-to-one,12
23254770,NCT00392587,one-to-one,4
23259716,NCT01116856,one-to-one,6
23259716,NCT01116856,one-to-one,6
23265344,NCT00597220,one-to-one,33
23265344,NCT00597220,one-to-one,33
23277305,NCT00391872,one-to-one,22
23277305,NCT00391872,one-to-one,22
23289728,NCT00242944,one-to-one,26
23289728,NCT00242944,one-to-one,26
23291425,NCT00119717,one-to-one,6
23291425,NCT00119717,one-to-one,6
23294191,NCT00836836,one-to-one,28
23299909,NCT00027352,one-to-one,15
23315371,NCT01471795,one-to-one,40
23315371,NCT01471795,one-to-one,40
23324133,NCT01312233,one-to-one,15
23324133,NCT01312233,one-to-one,15
23336703,NCT01719276,one-to-one,3
23336703,NCT01719276,one-to-one,3
23364004,NCT00473031,one-to-one,15
23364390,NCT00995657,one-to-one,12
23372270,NCT00873977,one-to-one,6
23372270,NCT00873977,one-to-one,6
