"nct_id","pmid","reference_type"
"NCT02612415",28606907,"one-to-one"
"NCT02619318",29121882,"one-to-one"
"NCT02613767",28911136,"one-to-one"
"NCT02613767",27604771,"one-to-one"
"NCT02619461",29955695,"one-to-one"
"NCT02617121",28525981,"one-to-one"
"NCT00665184",25742370,"one-to-one"
"NCT00669695",26567858,"one-to-one"
"NCT00669695",25221387,"one-to-one"
"NCT00668759",21232669,"one-to-one"
"NCT00669760",27861524,"one-to-one"
"NCT00665535",26066791,"one-to-one"
"NCT00665535",23426413,"one-to-one"
"NCT00664729",25811948,"one-to-one"
"NCT00664729",22035053,"one-to-one"
"NCT00664729",19211823,"one-to-one"
"NCT00667745",26476489,"one-to-one"
"NCT00667745",23911057,"one-to-one"
"NCT00667745",23670706,"one-to-one"
"NCT00667745",23288387,"one-to-one"
"NCT00667745",22076437,"one-to-one"
"NCT00662415",28850360,"one-to-one"
"NCT00666224",19815268,"one-to-one"
"NCT00668720",24157459,"one-to-one"
"NCT00660062",26529118,"one-to-one"
"NCT00661817",23733374,"one-to-one"
"NCT00661817",23496916,"one-to-one"
"NCT00661817",22412073,"one-to-one"
"NCT00661817",20573639,"one-to-one"
"NCT00664807",22247754,"one-to-one"
"NCT00662870",19117896,"one-to-one"
"NCT00662909",24246044,"one-to-one"
"NCT00663871",28121722,"one-to-one"
"NCT00663871",24736647,"one-to-one"
"NCT00669227",23896972,"one-to-one"
"NCT00667706",23765186,"one-to-one"
"NCT00662935",19936616,"one-to-one"
"NCT00669513",22539169,"one-to-one"
"NCT00664976",29267990,"one-to-one"
"NCT00664976",25470096,"one-to-one"
"NCT00664976",25219389,"one-to-one"
"NCT00664976",23557429,"one-to-one"
"NCT00664976",20178636,"one-to-one"
"NCT00663403",20890189,"one-to-one"
"NCT00668343",20488825,"one-to-one"
"NCT00668564",21586746,"one-to-one"
"NCT00662714",29199116,"one-to-one"
"NCT00662714",24620855,"one-to-one"
"NCT00662714",23809507,"one-to-one"
"NCT00669981",22893167,"one-to-one"
"NCT00663897",20957498,"one-to-one"
"NCT00665158",22371872,"one-to-one"
"NCT00662038",28898890,"one-to-one"
"NCT00662038",26835133,"one-to-one"
"NCT00662701",22082673,"one-to-one"
"NCT00668434",25988461,"one-to-one"
"NCT00661037",22858384,"one-to-one"
"NCT00660777",19234106,"one-to-one"
"NCT00666887",28564557,"one-to-one"
"NCT00666887",23970502,"one-to-one"
"NCT00660478",24631162,"one-to-one"
"NCT00660478",22917452,"one-to-one"
"NCT00660478",21729834,"one-to-one"
"NCT00660478",20231034,"one-to-one"
"NCT00665236",18541041,"one-to-one"
"NCT00664014",30180806,"one-to-one"
"NCT00664014",24906029,"one-to-one"
"NCT00662363",25473191,"one-to-one"
"NCT00667043",22527063,"one-to-one"
"NCT00811395",28607708,"one-to-one"
"NCT00818363",22510183,"one-to-one"
"NCT00814177",19640572,"one-to-one"
"NCT00813488",23855816,"one-to-one"
"NCT00818220",29954605,"one-to-one"
"NCT00818220",26547399,"one-to-one"
"NCT00818220",22331336,"one-to-one"
"NCT00816907",23846733,"one-to-one"
